,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
51,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8i Linear,II (2003-2011),2004,258 000 km,1 796 cm3,Benzyna,122 KM,Manualna,Na przednie koła,,10 l/100km,Sedan,,5,5,Czarny,Metalik,23/04/2004,,,Używane,9900,PLN,2004,258 000 km,Benzyna,Sedan,,,Tak,Niemcy,,,,,,,,,,,,,,,451
52,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2008,265 203 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Czarny,Metalik,11/09/2009,,,Używane,15900,PLN,2008,265 203 km,Diesel,Kombi,Tak,Tak,Tak,Belgia,,Tak,,,,Tak,,Tak,3 miesięcy,,,,,,452
53,Firmy,Osobowe,Tak,Tak,Saab,Inny,,,2011,239 271 km,2 997 cm3,Benzyna,265 KM,Automatyczna,4x4 (stały),,,SUV,,5,5,Szary,Metalik,01/01/2011,WE6C768,Tak,Używane,97900,PLN,2011,239 271 km,Benzyna,SUV,,Tak,Tak,Stany Zjednoczone,,Tak,,,,Tak,,,,,,,,,453
54,Osoby prywatnej,Osobowe,Tak,,Saab,9000,,,1995,200 000 km,2 290 cm3,Benzyna+LPG,170 KM,Manualna,Na przednie koła,7.0 l/100km,,Sedan,,4,5,Czarny,,,,Tak,Używane,3900,PLN,1995,200 000 km,Benzyna+LPG,Sedan,,Tak,,,,,,,,,,,,,,,,,454
55,Firmy,Osobowe,Tak,,Saab,9-3,S 2.2 TiD,II (2003-2011),2004,299 000 km,2 171 cm3,Diesel,125 KM,Manualna,Na przednie koła,5.0 l/100km,8 l/100km,Sedan,164 g/km,5,5,Czarny,Metalik,,,Tak,Używane,7490,PLN,2004,299 000 km,Diesel,Sedan,,Tak,,,,,,,,,,,,,,,,,455
56,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Vector Anniversary,II (2003-2011),2005,218 432 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,5.9 l/100km,"10,70 l/100km",Kabriolet,176 g/km,2,4,Czarny,Metalik,,,Tak,Używane,15900,PLN,2005,218 432 km,Benzyna,Kabriolet,,Tak,Tak,Niemcy,,,,,,,,,,,,,,,456
57,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8i Linear,II (2003-2011),2008,217 000 km,1 796 cm3,Benzyna+LPG,122 KM,Manualna,Na przednie koła,,10 l/100km,Kombi,,5,5,Szary,Perłowy,,,,Używane,25555,PLN,2008,217 000 km,Benzyna+LPG,Kombi,,,Tak,Belgia,,,,,,,,,,,,,,,457
58,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,1999,356 000 km,2 290 cm3,Benzyna+LPG,220 KM,Manualna,Na przednie koła,,,Sedan,,5,5,Czarny,Matowy,01/10/1999,DW090TE,Tak,Używane,7500,PLN,1999,356 000 km,Benzyna+LPG,Sedan,,Tak,Tak,Szwajcaria,,,,,,,Tak,,,,,,,,458
59,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TTiD PF Aero,II (2003-2011),2009,382 000 km,1 910 cm3,Diesel,180 KM,Manualna,Na przednie koła,4.0 l/100km,6 l/100km,Kombi,135 g/km,5,5,Szary,Metalik,29/10/2009,DBL 9E92,Tak,Używane,13900,PLN,2009,382 000 km,Diesel,Kombi,,,,,,Tak,,,,,,,,,,,,,459
60,Osoby prywatnej,Osobowe,Tak,Tak,Saab,900,2.0-16 S,,1993,316 675 km,1 985 cm3,Benzyna,145 KM,Manualna,Na przednie koła,,,Coupe,,3,5,Granatowy,,30/06/1993,WA65860,Tak,Używane,41000,PLN,1993,316 675 km,Benzyna,Coupe,,,,Holandia,,,,,,,,,,,,,,,460
